 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,149,2,2,86,208,43,43,43.0,0.0,104,104,104.0,0.0,1973154.362,26845.63758,49.66666667,79.96457549,142,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,13422.81879,13422.81879,43,104,67.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,84.25,43.0,104.0,40,0,0,0,0,0,0,2,86,2,208,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,121527,1,1,61,228,61,61,61.0,0.0,228,228,228.0,0.0,2378.072363,16.45724818,121527.0,0.0,121527,121527,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8.228624092,8.228624092,61,228,116.6666667,96.41749495,9296.333333,0,0,0,0,0,0,0,0,1,175.0,61.0,228.0,20,0,0,0,0,0,0,1,61,1,228,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,178,2,2,142,242,71,71,71.0,0.0,121,121,121.0,0.0,2157303.371,22471.91011,59.33333333,97.57219549,172,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,11235.95506,11235.95506,71,121,91.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,113.75,71.0,121.0,40,0,0,0,0,0,0,2,142,2,242,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,125,2,2,328,326,164,164,164.0,0.0,163,163,163.0,0.0,5232000.0,32000.0,41.66666667,66.10849668,118,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,16000.0,16000.0,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164.0,163.0,40,0,0,0,0,0,0,2,328,2,326,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
445,90008934,10,10,48,12,6,0,4.8,2.529822128,6,0,1.2,2.529822128,0.666600495,0.222200165,4737312.316,11200000.0,30000000,3,90000000,10000000.0,15000000.0,30000000,3,90000000,10000000.0,15000000.0,30000000,3,0,0,0,0,224,296,0.111100083,0.111100083,0,6,3.142857143,3.070597894,9.428571429,0,0,0,0,1,0,0,0,1,3.3,4.8,1.2,224,0,0,0,0,0,0,10,48,10,12,253,2047,7,20,22787.33333,39392.60898,68274,41,30000000.0,42131.40369,30000000,29900000,BENIGN
53,157,2,2,102,266,51,51,51.0,0.0,133,133,133.0,0.0,2343949.045,25477.70701,52.33333333,84.58329228,150,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,12738.8535,12738.8535,51,133,83.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,104.75,51.0,133.0,64,0,0,0,0,0,0,2,102,2,266,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,772713,2,2,58,242,29,29,29.0,0.0,121,121,121.0,0.0,388.2424652,5.176566202,257571.0,446120.8624,772707,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,2.588283101,2.588283101,29,121,65.8,50.39047529,2539.2,0,0,0,0,0,0,0,0,1,82.25,29.0,121.0,64,0,0,0,0,0,0,2,58,2,242,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,46786,1,1,56,188,56,56,56.0,0.0,188,188,188.0,0.0,5215.235327,42.74783055,46786.0,0.0,46786,46786,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,21.37391527,21.37391527,56,188,100.0,76.21023553,5808.0,0,0,0,0,0,0,0,0,1,150.0,56.0,188.0,20,0,0,0,0,0,0,1,56,1,188,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,61076075,14,13,1286,4022,889,0,91.85714286,237.4463039,1615,2,309.3846154,589.7272729,86.90800776,0.44207163,2349079.808,4278313.615,10000000,33,61100000,4698159.615,5185385.282,10100000,394,61000000,5082568.917,5233375.346,10100000,265,0,0,0,0,292,264,0.229222326,0.212849303,0,1615,189.5714286,441.4838975,194908.0317,0,0,0,1,0,0,0,0,0,196.5925926,91.85714286,309.3846154,292,0,0,0,0,0,0,14,1286,13,4022,8192,32004,13,20,123281.6667,94108.60482,315380,84821,10000000.0,538.0276635,10000000,10000000,BENIGN
53,590,1,1,61,143,61,61,61.0,0.0,143,143,143.0,0.0,345762.7119,3389.830508,590.0,0.0,590,590,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1694.915254,1694.915254,61,143,88.33333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,132.5,61.0,143.0,32,0,0,0,0,0,0,1,61,1,143,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,193,2,2,74,274,37,37,37.0,0.0,137,137,137.0,0.0,1803108.808,20725.3886,64.33333333,70.92484285,142,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,80,10362.6943,10362.6943,37,137,77.0,54.77225575,3000.0,0,0,0,0,0,0,0,0,1,96.25,37.0,137.0,64,0,0,0,0,0,0,2,74,2,274,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,68613,3,4,431,2267,431,0,143.6666667,248.837966,2267,0,566.75,1133.5,39321.99437,102.0214828,11435.5,16396.6181,32703,4,35047,17523.5,21162.99885,32488,2559,36177,12059.0,20143.95753,35314,4,0,0,0,0,104,136,43.72349263,58.29799018,0,2267,337.25,794.1886696,630735.6429,0,0,0,1,0,0,0,0,1,385.4285714,143.6666667,566.75,104,0,0,0,0,0,0,3,431,4,2267,29200,237,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,213481,8,9,672,3879,324,0,84.0,124.9959999,1448,0,431.0,597.4200783,21318.05641,79.63237946,13342.5625,19079.17825,66068,1,187758,26822.57143,28274.72193,66068,150,188424,23553.0,43851.64425,127995,1,0,0,0,0,264,296,37.47406092,42.15831854,0,1448,252.8333333,456.4766923,208370.9706,0,0,0,1,0,0,0,0,1,267.7058824,84.0,431.0,264,0,0,0,0,0,0,8,672,9,3879,29200,35,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,94914,1,1,41,189,41,41,41.0,0.0,189,189,189.0,0.0,2423.246307,21.07170702,94914.0,0.0,94914,94914,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,10.53585351,10.53585351,41,189,90.33333333,85.44783984,7301.333333,0,0,0,0,0,0,0,0,1,135.5,41.0,189.0,40,0,0,0,0,0,0,1,41,1,189,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,49127,1,1,43,71,43,43,43.0,0.0,71,71,71.0,0.0,2320.516213,40.71081076,49127.0,0.0,49127,49127,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.35540538,20.35540538,43,71,52.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,78.5,43.0,71.0,32,0,0,0,0,0,0,1,43,1,71,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,192,2,2,60,244,30,30,30.0,0.0,122,122,122.0,0.0,1583333.333,20833.33333,64.0,96.28603222,175,3,3,3.0,0.0,3,3,14,14.0,0.0,14,14,0,0,0,0,80,80,10416.66667,10416.66667,30,122,66.8,50.39047529,2539.2,0,0,0,0,0,0,0,0,1,83.5,30.0,122.0,80,0,0,0,0,0,0,2,60,2,244,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,70788,2,2,66,248,33,33,33.0,0.0,124,124,124.0,0.0,4435.780076,56.50675256,23596.0,40864.2747,70782,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,28.25337628,28.25337628,33,124,69.4,49.84275273,2484.3,0,0,0,0,0,0,0,0,1,86.75,33.0,124.0,40,0,0,0,0,0,0,2,66,2,248,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23905,2,2,72,246,36,36,36.0,0.0,123,123,123.0,0.0,13302.65635,167.3290107,7968.333333,13785.97103,23887,3,3,3.0,0.0,3,3,15,15.0,0.0,15,15,0,0,0,0,64,40,83.66450533,83.66450533,36,123,70.8,47.6518625,2270.7,0,0,0,0,0,0,0,0,1,88.5,36.0,123.0,64,0,0,0,0,0,0,2,72,2,246,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,70715567,70,66,48842,52673,2780,0,697.7428571,1002.606266,2648,0,798.0757576,843.4603873,1435.539646,1.923197476,523819.0148,2059889.64,10000000,0,70700000,1024863.29,2813295.925,10100000,48,70700000,1087153.8,2890826.501,10100000,4,0,0,0,0,2248,2120,0.989881054,0.933316422,0,2780,740.9854015,925.5278858,856601.8674,0,0,0,1,0,0,0,0,0,746.4338235,697.7428571,798.0757576,2248,0,0,0,0,0,0,70,48842,66,52673,29200,422,27,32,1806995.333,4302593.728,10600000,50315,9978913.667,112276.4391,10000000,9750631,BENIGN
443,116448791,24,21,2168,4000,949,0,90.33333333,222.901551,1460,0,190.4761905,435.4374374,52.96748852,0.386435957,2646563.432,4378219.753,10000000,1,116000000,5062990.913,4994882.284,10000000,1,111000000,5553748.3,5095504.724,10000000,1,0,0,0,0,500,432,0.206099177,0.18033678,0,1460,134.0869565,335.5119356,112568.2589,0,0,0,1,0,0,0,0,0,137.0666667,90.33333333,190.4761905,500,0,0,0,0,0,0,24,2168,21,4000,29200,5120,23,20,76612.25,166860.6804,606466,28284,9627453.417,1348549.521,10000000,5345288,BENIGN
53,72065,1,1,44,143,44,44,44.0,0.0,143,143,143.0,0.0,2594.879623,27.75272324,72065.0,0.0,72065,72065,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13.87636162,13.87636162,44,143,77.0,57.15767665,3267.0,0,0,0,0,0,0,0,0,1,115.5,44.0,143.0,32,0,0,0,0,0,0,1,44,1,143,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,3484977,2,2,83,249,45,38,41.5,4.949747468,129,120,124.5,6.363961031,95.26605197,1.147783759,1161659.0,1957986.922,3422272,784,3423056,3423056.0,0.0,3423056,3423056,3484193,3484193.0,0.0,3484193,3484193,0,0,0,0,52,52,0.573891879,0.573891879,38,129,75.4,45.0255483,2027.3,0,0,0,0,0,0,0,0,1,94.25,41.5,124.5,52,0,0,0,0,0,0,2,83,2,249,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,5224,9,4,636,2944,303,0,70.66666667,131.7450189,1472,0,736.0,849.8595962,685298.6217,2488.514548,435.3333333,1247.152053,4361,1,5224,653.0,1517.204666,4361,1,5121,1707.0,2914.254793,5072,3,0,0,0,0,204,104,1722.817764,765.6967841,0,1472,255.7142857,526.374308,277069.9121,0,0,0,1,0,0,0,0,0,275.3846154,70.66666667,736.0,204,0,0,0,0,0,0,9,636,4,2944,8192,2053,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23544,2,2,72,200,36,36,36.0,0.0,100,100,100.0,0.0,11552.83724,169.8946653,7848.0,13587.93859,23538,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,84.94733265,84.94733265,36,100,61.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,77.0,36.0,100.0,64,0,0,0,0,0,0,2,72,2,200,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,33899,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,58.99879052,33899.0,0.0,33899,33899,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,29.49939526,29.49939526,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,264,237,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24150,2,2,68,250,34,34,34.0,0.0,125,125,125.0,0.0,13167.70186,165.63147,8050.0,13936.94683,24143,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,82.81573499,82.81573499,34,125,70.4,49.84275273,2484.3,0,0,0,0,0,0,0,0,1,88.0,34.0,125.0,64,0,0,0,0,0,0,2,68,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,63035803,18,15,1611,5631,653,0,89.5,210.9572719,1448,0,375.4,565.5175632,114.8870904,0.523512011,1969868.844,3944676.581,10000000,8,63000000,3707988.412,4859705.473,10100000,69,63000000,4498919.071,5028279.103,10100000,50,0,0,0,0,584,488,0.285552006,0.237960005,0,1448,213.0,424.5999186,180285.0909,0,0,0,1,0,0,0,0,0,219.4545455,89.5,375.4,584,0,0,0,0,0,0,18,1611,15,5631,29200,129,4,32,500487.1667,1102314.891,2750578,50357,10000000.0,38221.32642,10000000,9930952,BENIGN
53,544,1,1,74,156,74,74,74.0,0.0,156,156,156.0,0.0,422794.1176,3676.470588,544.0,0.0,544,544,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1838.235294,1838.235294,74,156,101.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,152.0,74.0,156.0,32,0,0,0,0,0,0,1,74,1,156,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24091,2,2,60,194,30,30,30.0,0.0,97,97,97.0,0.0,10543.35644,166.0371093,8030.333333,13904.61529,24086,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,64,64,83.01855465,83.01855465,30,97,56.8,36.69741135,1346.7,0,0,0,0,0,0,0,0,1,71.0,30.0,97.0,64,0,0,0,0,0,0,2,60,2,194,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
42816,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,8841,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5179726,6,2,135,92,46,0,22.5,21.10687092,46,46,46.0,0.0,43.82471196,1.544483241,739960.8571,1837512.585,4903490,3,5179726,1035945.2,2164555.227,4903490,3,239185,239185.0,0.0,239185,239185,1,0,0,0,132,40,1.158362431,0.38612081,0,46,30.33333333,20.40833163,416.5,0,1,0,0,1,0,0,0,0,34.125,22.5,46.0,132,0,0,0,0,0,0,6,135,2,92,258,360,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
60954,54,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,140,355,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
36226,2,1,2,0,7,0,0,0.0,0.0,7,0,3.5,4.949747468,3500000.0,1500000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,32,64,500000.0,1000000.0,0,7,1.75,3.5,12.25,0,0,0,0,1,0,0,0,2,2.333333333,0.0,3.5,32,0,0,0,0,0,0,1,0,2,7,2081,237,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,119450027,12,12,576,576,48,48,48.0,0.0,48,48,48.0,0.0,9.644200415,0.200920842,5193479.435,14600000.0,59000000,16397,119000000,10900000.0,20100000.0,59000000,1004553,119000000,10900000.0,20100000.0,59000000,1004670,0,0,0,0,360,348,0.100460421,0.100460421,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,50.0,48.0,48.0,360,0,0,0,0,0,0,12,576,12,576,-1,-1,11,20,6512125.5,9186171.98,13000000,16521,50700000.0,11700000.0,59000000,42400000,BENIGN
389,187899,21,12,5803,1138,2740,0,276.3333333,695.933857,212,0,94.83333333,79.79158458,36940.05822,175.6262673,5871.84375,26192.64663,143475,1,187899,9394.95,32941.67045,143475,1,186961,16996.45455,55993.30999,185822,4,0,0,0,0,688,400,111.7621701,63.8640972,0,2740,204.1470588,551.884108,304576.0686,0,0,0,1,0,0,0,0,0,210.3333333,276.3333333,94.83333333,688,0,0,0,0,0,0,21,5803,12,1138,29200,2081,10,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1147,23,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,521739.1304,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,43478.26087,43478.26087,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,125,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56973,50,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20000.0,20000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,126,581,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31048,2,2,82,386,41,41,41.0,0.0,193,193,193.0,0.0,15073.43468,128.8327751,10349.33333,17920.37501,31042,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,64.41638753,64.41638753,41,193,101.8,83.25382874,6931.2,0,0,0,0,0,0,0,0,1,127.25,41.0,193.0,64,0,0,0,0,0,0,2,82,2,386,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5092433,8,6,390,3716,209,0,48.75,77.1357801,1460,0,619.3333333,679.9090135,806.2943587,2.749177063,391725.6154,1360616.798,4919764,4,5092433,727490.4286,1848819.913,4919764,4,91783,18356.6,25382.63679,56815,192,0,0,0,0,172,132,1.570958322,1.178218741,0,1460,273.7333333,503.5259203,253538.3524,0,0,0,1,0,0,0,0,0,293.2857143,48.75,619.3333333,172,0,0,0,0,0,0,8,390,6,3716,8192,119,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60583,1,1,43,109,43,43,43.0,0.0,109,109,109.0,0.0,2508.954657,33.01256128,60583.0,0.0,60583,60583,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.50628064,16.50628064,43,109,65.0,38.10511777,1452.0,0,0,0,0,0,0,0,0,1,97.5,43.0,109.0,20,0,0,0,0,0,0,1,43,1,109,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1140,25,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,480000.0,80000.0,25.0,0.0,25,25,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,40000.0,40000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,980,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,61141,2,2,84,310,42,42,42.0,0.0,155,155,155.0,0.0,6444.120966,65.42254788,20380.33333,35292.84461,61133,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,32.71127394,32.71127394,42,155,87.2,61.892649,3830.7,0,0,0,0,0,0,0,0,1,109.0,42.0,155.0,64,0,0,0,0,0,0,2,84,2,310,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
